SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,COMPANY,NAME OF THE ACQUIRER/DISPOSER,VALUE OF SECURITY (ACQUIRED/DISPLOSED),ACQUISITION/DISPOSAL TRANSACTION TYPE,TOTAL ACQUISTION (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ ANY OTHER INSTRUMENT),PROMOTER & PROMOTER GROUP (A),MARKET,SERIES,SECURITY,PREV_CL_PR
SAFARI,,,,,Safari Industries (India) Limited,AMIT KUMAR SHARMA,1409100,Sell,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,AMIT KUMAR SHARMA,3660,Buy,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,VINEET PODDAR,21110000,Pledge,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,DEEPAK BARTWAL,2424000,Sell,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,DEEPAK BARTWAL,10012,Buy,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,SIDDHARTH GAUTAM,3504,Buy,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,SIDDHARTH GAUTAM,1435973,Sell,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,NISHANT RANJAN,5006,Buy,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,NISHANT RANJAN,1822800,Sell,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,ATUL S DEO,3504,Buy,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,ATUL S DEO,2095386,Sell,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,ATUL S DEO,3070302,Sell,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,NAZUK KESHAN,6962,Buy,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,NAZUK KESHAN,2897701,Sell,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,SONALI MAJUMDAR,5329376,Sell,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,SONALI MAJUMDAR,12930,Buy,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,VINEET PODDAR,1050000,Buy,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,SATYABRATA MITRA,9966,Buy,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,SATYABRATA MITRA,2070000,Sell,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,SATYABRATA MITRA,2070000,Sell,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,PUSHKAR JAIN,19924,Buy,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,PUSHKAR JAIN,1050000,Buy,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,PUSHKAR JAIN,2639442,Sell,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,VINEET PODDAR,20018,Buy,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,NIDHISH GARG,5295050,Sell,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,NIDHISH GARG,4502,Buy,,44.91,,,,
SAFEENTP,,,,,,,,,,,N,SM,SAFE ENTER RETAIL FIX LTD,183.9
SAHAJSOLAR,,,,,,,,,,,N,SM,SAHAJ SOLAR LIMITED,233.9
SAHANA,,,,,Sahana System Limited,Hetal Pratikbhai Kakadiya,545000,Buy,,,N,SM,SAHANA SYSTEM LIMITED,1075.9
SAHANA,,,,,Sahana System Limited,Hetal Pratikbhai Kakadiya,5875867,Buy,,,N,SM,SAHANA SYSTEM LIMITED,1075.9
SAHANA,,,,,Sahana System Limited,Hetal Pratikbhai Kakadiya,1683360,Buy,,,N,SM,SAHANA SYSTEM LIMITED,1075.9
SAHANA,,,,,Sahana System Limited,Hetal Pratikbhai Kakadiya,760000,Buy,,,N,SM,SAHANA SYSTEM LIMITED,1075.9
SAHANA,,,,,Sahana System Limited,Hetal Pratikbhai Kakadiya,2774093,Buy,,,N,SM,SAHANA SYSTEM LIMITED,1075.9
SAHASRA,,,,,,,,,,,N,SM,SAHASRA ELECTRONIC SOLU L,293.2
SAIFL,,,,,,,,,,,N,SM,SAMEERA AGRO AND INFRA L,16.4
SAJHOTELS,,,,,Saj Hotels Limited,LA-TIM LIFE STYLE AND RESORTS LIMITED,125900,Buy,,,N,SM,SAJ HOTELS LIMITED,72.7
SAJHOTELS,,,,,Saj Hotels Limited,LA-TIM LIFE STYLE AND RESORTS LIMITED,124000,Buy,,,N,SM,SAJ HOTELS LIMITED,72.7
SAJHOTELS,,,,,Saj Hotels Limited,LA-TIM LIFE STYLE AND RESORTS LIMITED,2436940,Buy,,,N,SM,SAJ HOTELS LIMITED,72.7
SAJHOTELS,,,,,Saj Hotels Limited,LA-TIM LIFE STYLE AND RESORTS LIMITED,62,Buy,,,N,SM,SAJ HOTELS LIMITED,72.7
